FileName;Script_Type
btv1b10506542j_f104.tif;Caroline
btv1b8423836x_f125.tif;Caroline
btv1b8423836x_f19.tif;Caroline
btv1b8423836x_f24.tif;Caroline
btv1b8423836x_f47.tif;Caroline
btv1b84267798_f150.tif;Caroline
btv1b84267798_f27.tif;Caroline
btv1b84267798_f87.tif;Caroline
btv1b8426780x_f101.tif;Caroline
btv1b8426780x_f133.tif;Caroline
btv1b8426780x_f206.tif;Caroline
btv1b8426780x_f50.tif;Caroline
btv1b8426780x_f7.tif;Caroline
btv1b8426782r_f102.tif;Caroline
btv1b8426782r_f51.tif;Caroline
btv1b84267850_f109.tif;Caroline
btv1b84267887_f17.tif;Caroline
btv1b8432314k_f13.tif;Caroline
btv1b8432314k_f17.tif;Caroline
IRHT_P_002587.tif;Caroline
IRHT_P_002588.tif;Caroline
IRHT_P_002591.tif;Caroline
IRHT_P_002598.tif;Caroline
IRHT_P_002621.tif;Caroline
IRHT_P_002639.tif;Caroline
IRHT_P_002641.tif;Caroline
IRHT_P_002648.tif;Caroline
IRHT_P_002666.tif;Caroline
IRHT_P_002667.tif;Caroline
IRHT_P_002707.tif;Caroline
IRHT_P_002711.tif;Caroline
IRHT_P_002712.tif;Caroline
IRHT_P_002713.tif;Caroline
IRHT_P_002718.tif;Caroline
IRHT_P_002719.tif;Caroline
IRHT_P_003004.tif;Caroline
IRHT_P_003005.tif;Caroline
IRHT_P_003009.tif;Caroline
IRHT_P_004808.tif;Caroline
IRHT_P_005073.tif;Caroline
IRHT_P_005078.tif;Caroline
IRHT_P_005079.tif;Caroline
IRHT_P_005093.tif;Caroline
IRHT_P_005096.tif;Caroline
IRHT_P_005239.tif;Caroline
IRHT_P_006401.tif;Caroline
IRHT_P_006582.tif;Caroline
IRHT_P_006651.tif;Caroline
IRHT_P_006787.tif;Caroline
IRHT_P_006854.tif;Caroline
IRHT_P_006965.tif;Caroline
IRHT_P_006967.tif;Caroline
IRHT_P_006984.tif;Caroline
IRHT_P_006985.tif;Caroline
IRHT_P_006991.tif;Caroline
IRHT_P_007554.tif;Caroline
IRHT_P_007566.tif;Caroline
IRHT_P_007573.tif;Caroline
IRHT_P_007762.tif;Caroline
IRHT_P_007763.tif;Caroline
IRHT_P_007819.tif;Caroline
IRHT_P_007820.tif;Caroline
IRHT_P_007827.tif;Caroline
IRHT_P_007863.tif;Caroline
IRHT_P_007864.tif;Caroline
IRHT_P_007891.tif;Caroline
IRHT_P_007892.tif;Caroline
IRHT_P_007894.tif;Caroline
IRHT_P_007929.tif;Caroline
IRHT_P_007936.tif;Caroline
IRHT_P_007937.tif;Caroline
IRHT_P_007968.tif;Caroline
IRHT_P_007969.tif;Caroline
IRHT_P_007970.tif;Caroline
IRHT_P_008012.tif;Caroline
IRHT_P_008013.tif;Caroline
IRHT_P_008014.tif;Caroline
IRHT_P_008015.tif;Caroline
IRHT_P_008037.tif;Caroline
IRHT_P_008059.tif;Caroline
IRHT_P_008060.tif;Caroline
IRHT_P_008199.tif;Caroline
IRHT_P_008200.tif;Caroline
IRHT_P_008428.tif;Caroline
IRHT_P_008429.tif;Caroline
IRHT_P_008445.tif;Caroline
IRHT_P_000029.tif;Cursiva
IRHT_P_000128.tif;Cursiva
IRHT_P_000137.tif;Cursiva
IRHT_P_000360.tif;Cursiva
IRHT_P_000361.tif;Cursiva
IRHT_P_000362.tif;Cursiva
IRHT_P_000487.tif;Cursiva
IRHT_P_000593.tif;Cursiva
IRHT_P_000835.tif;Cursiva
IRHT_P_000908.tif;Cursiva
IRHT_P_000909.tif;Cursiva
IRHT_P_000912.tif;Cursiva
IRHT_P_000913.tif;Cursiva
IRHT_P_000915.tif;Cursiva
IRHT_P_000916.tif;Cursiva
IRHT_P_000926.tif;Cursiva
IRHT_P_000934.tif;Cursiva
IRHT_P_000935.tif;Cursiva
IRHT_P_000963.tif;Cursiva
IRHT_P_000965.tif;Cursiva
IRHT_P_000966.tif;Cursiva
IRHT_P_000990.tif;Cursiva
IRHT_P_000994.tif;Cursiva
IRHT_P_001006.tif;Cursiva
IRHT_P_001014.tif;Cursiva
IRHT_P_001015.tif;Cursiva
IRHT_P_001030.tif;Cursiva
IRHT_P_001031.tif;Cursiva
IRHT_P_001044.tif;Cursiva
IRHT_P_001086.tif;Cursiva
IRHT_P_001094.tif;Cursiva
IRHT_P_001121.tif;Cursiva
IRHT_P_001137.tif;Cursiva
IRHT_P_001273.tif;Cursiva
IRHT_P_001279.tif;Cursiva
IRHT_P_001286.tif;Cursiva
IRHT_P_001712.tif;Cursiva
IRHT_P_001806.tif;Cursiva
IRHT_P_001842.tif;Cursiva
IRHT_P_001938.tif;Cursiva
IRHT_P_002029.tif;Cursiva
IRHT_P_002037.tif;Cursiva
IRHT_P_002047.tif;Cursiva
IRHT_P_002050.tif;Cursiva
IRHT_P_002056.tif;Cursiva
IRHT_P_002058.tif;Cursiva
IRHT_P_002069.tif;Cursiva
IRHT_P_002070.tif;Cursiva
IRHT_P_002072.tif;Cursiva
IRHT_P_002075.tif;Cursiva
IRHT_P_002088.tif;Cursiva
IRHT_P_002130.tif;Cursiva
IRHT_P_002158.tif;Cursiva
IRHT_P_002165.tif;Cursiva
IRHT_P_002177.tif;Cursiva
IRHT_P_002183.tif;Cursiva
IRHT_P_002191.tif;Cursiva
IRHT_P_002206.tif;Cursiva
IRHT_P_002207.tif;Cursiva
IRHT_P_002213.tif;Cursiva
IRHT_P_002222.tif;Cursiva
IRHT_P_002223.tif;Cursiva
IRHT_P_002341.tif;Cursiva
IRHT_P_002342.tif;Cursiva
IRHT_P_002343.tif;Cursiva
IRHT_P_002346.tif;Cursiva
IRHT_P_002360.tif;Cursiva
IRHT_P_002361.tif;Cursiva
IRHT_P_002372.tif;Cursiva
IRHT_P_002386.tif;Cursiva
IRHT_P_002387.tif;Cursiva
IRHT_P_002404.tif;Cursiva
IRHT_P_002406.tif;Cursiva
IRHT_P_002499.tif;Cursiva
IRHT_P_002521.tif;Cursiva
IRHT_P_002522.tif;Cursiva
IRHT_P_002523.tif;Cursiva
IRHT_P_002533.tif;Cursiva
IRHT_P_002603.tif;Cursiva
IRHT_P_002716.tif;Cursiva
IRHT_P_002726.tif;Cursiva
IRHT_P_002738.tif;Cursiva
IRHT_P_002760.tif;Cursiva
IRHT_P_002771.tif;Cursiva
IRHT_P_002776.tif;Cursiva
IRHT_P_002782.tif;Cursiva
B721816101_MS0180_0010_1.tif;Humanistic_cursive
B721816101_MS0180_0010_2.tif;Humanistic_cursive
B721816101_MS0180_0018_1.tif;Humanistic_cursive
B721816101_MS0180_0018_2.tif;Humanistic_cursive
B721816101_MS0180_0020_1.tif;Humanistic_cursive
B721816101_MS0180_0020_2.tif;Humanistic_cursive
B721816101_MS0180_0028_1.tif;Humanistic_cursive
B721816101_MS0180_0028_2.tif;Humanistic_cursive
B721816101_MS0180_0030_1.tif;Humanistic_cursive
